X,Y,Crash_Type,Accident_Datetime,Location,Latitude,Longitude,Posted_Speed,Road_Type,Pedestrian_Age,Pedestrian_Gender,Pedestrian_City_of_Residence,Pedestrian_Zip_Code,Biker_Age,Biker_Gender,Biker_City_of_Residence,Biker_Zip_Code,Pedestrian_Injury_Severity,Pedestrian_to_Hospital,Biker_Injury_Severity,Biker_to_Hospital,ObjectId,Vehicle_Direction_of_Travel
-93.167,44.935,Bike,2020/07/29 18:30:00+00,PILLSBURY ST,44.962,-93.191,30,Local or City Street,,,,,22,M,SOUTH ST PAUL,55075,,,Possible Injury,No,1,Unknown
-93.159,44.941,Pedestrian,2020/07/26 02:23:00+00,W THOMAS AVE,44.959,-93.139,30,Municipal State Aid Street,15,F,SAINT PAUL,55104,,,,,Possible Injury,No,,,2,Unknown
-93.105,44.942,Pedestrian,2020/07/23 01:05:00+00,-- NOT ON ROADWAY --,44.955,-93.177,,All other roads,,,,,,,,,Possible Injury,No,,,3,Unknown
-93.167,44.956,Bike,2020/07/20 19:14:00+00,W 9TH ST,44.948,-93.101,20,Municipal State Aid Street,,,,,65,M,SAINT PAUL,551021101,,,,No,4,Unknown
-93.055,44.976,Bike,2020/07/18 14:30:00+00,N PELHAM BLVD,44.951,-93.2,25,Municipal State Aid Street,,,,,55,M,MINNEAPOLIS,554182900,,,Possible Injury,No,5,Unknown
-93.124,44.956,Pedestrian,2020/07/17 02:35:00+00,S KENNETH ST,44.916,-93.185,30,Local or City Street,42,M,SAINT PAUL,551162606,,,,,Suspected Minor Injury,Yes,,,6,Unknown
-93.157,44.981,Pedestrian,2020/07/17 02:35:00+00,S KENNETH ST,44.916,-93.185,30,Local or City Street,6,,ST. PAUL,55104,,,,,Suspected Minor Injury,No,,,7,Unknown
-93.12,44.927,Bike,2020/07/17 00:23:00+00,N GROTTO ST,44.956,-93.131,30,Local or City Street,,,,,33,M,HINCKLEY,550375328,,,Possible Injury,No,8,Unknown
-93.205,44.965,Bike,2020/07/13 12:11:00+00,N ST ALBANS ST,44.954,-93.129,30,Local or City Street,,,,,68,M,SAINT PAUL,55104,,,Possible Injury,Yes,9,Unknown
-93.1,44.941,Bike,2020/07/10 21:34:00+00,E MARYLAND AVE,44.977,-93.074,25,County State Aid Highway,,,,,59,M,LITTLE CANADA,551171221,,,,No,10,Unknown
-93.076,44.971,Bike,2020/07/06 14:22:00+00,DEALTON ST,44.911,-93.151,15,Local or City Street,,,,,36,M,SAINT PAUL,551162961,,,Suspected Minor Injury,Yes,11,Unknown
-93.116,44.973,Bike,2020/07/02 17:43:00+00,W UNIVERSITY AVE,44.956,-93.177,25,County State Aid Highway,,,,,17,M,ST PAUL,55101,,,Suspected Minor Injury,No,12,Unknown
-93.095,44.947,Pedestrian,2020/06/28 05:00:00+00,W CENTRAL AVE,44.953,-93.125,,Local or City Street,22,F,NORTH SAINT PAUL,551092282,,,,,Possible Injury,Yes,,,13,Unknown
-93.106,44.957,Bike,2020/06/27 21:40:00+00,W PALACE ST,44.929,-93.134,30,Local or City Street,,,,,7,M,ST PAUL,55107,,,Suspected Minor Injury,No,14,Unknown
-93.086,44.948,Bike,2020/06/27 22:22:00+00,W WATER ST,44.922,-93.117,,Local or City Street,,,,,38,,EAGAN,551211338,,,Suspected Minor Injury,No,15,Unknown
-93.085,44.941,Pedestrian,2020/06/26 23:05:00+00,W CONCORDIA AVE,44.951,-93.166,,Local or City Street,58,M,MINNEAPOLIS,554043352,,,,,Possible Injury,Yes,,,16,Unknown
-93.106,44.942,Pedestrian,2020/06/26 17:30:00+00,-- NOT ON ROADWAY --,44.954,-93.156,10,All other roads,41,M,ST. PAUL,55106,,,,,Possible Injury,No,,,17,Unknown
-93.126,44.95,Pedestrian,2020/06/25 17:20:00+00,N FAIRVIEW AVE,44.944,-93.177,30,Municipal State Aid Street,13,F,ST PAUL,55104,,,,,Possible Injury,Yes,,,18,Unknown
-93.167,44.945,Bike,2020/06/25 03:31:00+00,N FRANK ST,44.968,-93.053,25,Local or City Street,,,,,48,M,SAINT PAUL,551065311,,,Possible Injury,No,19,Unknown
-93.046,44.963,Bike,2020/06/24 23:22:00+00,W HORTON AVE,44.977,-93.147,30,Local or City Street,,,,,32,F,SAINT PAUL,551041404,,,Possible Injury,No,20,Unknown
-93.057,44.952,Bike,2020/06/23 21:25:00+00,S CLEVELAND AVE,,,30,Municipal State Aid Street,,,,,68,,SAINT PAUL,551162515,,,Suspected Minor Injury,Yes,21,Unknown
-93.064,44.961,Pedestrian,2020/06/14 18:01:00+00,N LOEB ST,44.973,-93.125,30,Local or City Street,24,M,ST. COULD,55127,,,,,Suspected Minor Injury,Yes,,,22,Unknown
-93.084,44.973,Bike,2020/06/13 20:30:00+00,E 2ND ST,44.946,-93.086,25,Local or City Street,,,,,32,M,MINNEAPOLIS,554031940,,,Suspected Minor Injury,No,23,Unknown
