Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,dateInYear,Record,RecordText,RecordP,CulmPrec
1,1,47,52,44,56,31,1965,68,1996,0.09,2.16,2004,2011-01-01,1,FALSE,,FALSE,0.09
1,2,48,51,44,56,29,1960,69,1996,0.35,1.67,1977,2011-01-02,2,FALSE,,FALSE,0.43999999999999995
1,3,45,53,44,56,31,1950,69,2000,0,1.33,1974,2011-01-03,3,FALSE,,FALSE,0.43999999999999995
1,4,39,53,44,56,29,1949,62,2006,0,5.59,1982,2011-01-04,4,FALSE,,FALSE,0.43999999999999995
1,5,38,55,44,56,26,1949,65,1986,0,1.98,1959,2011-01-05,5,FALSE,,FALSE,0.43999999999999995
1,6,37,52,44,56,29,1950,66,2003,0,2.34,1993,2011-01-06,6,FALSE,,FALSE,0.43999999999999995
1,7,39,47,44,56,31,1973,65,2003,0,0.87,1956,2011-01-07,7,FALSE,,FALSE,0.43999999999999995
1,8,43,49,44,56,30,1955,70,1962,0,1.33,1979,2011-01-08,8,FALSE,,FALSE,0.43999999999999995
1,9,39,48,44,56,33,1957,71,1962,0,1.31,1995,2011-01-09,9,FALSE,,FALSE,0.43999999999999995
1,10,36,49,44,56,29,1949,68,1953,0,1.23,1950,2011-01-10,10,FALSE,,FALSE,0.43999999999999995
1,11,43,49,44,56,30,1949,69,1959,0.04,1.3,1980,2011-01-11,11,FALSE,,FALSE,0.4799999999999999
1,12,48,55,44,56,32,1963,70,2009,0,1.56,1993,2011-01-12,12,FALSE,,FALSE,0.4799999999999999
1,13,45,56,44,56,29,1963,72,2009,0.15,1.97,1993,2011-01-13,13,FALSE,,FALSE,0.6299999999999999
1,14,50,60,44,56,31,1963,67,1948,0,2.21,1979,2011-01-14,14,FALSE,,FALSE,0.6299999999999999
1,15,47,63,44,56,31,1963,69,1974,0,1.03,1956,2011-01-15,15,FALSE,,FALSE,0.6299999999999999
1,16,47,57,44,56,31,1962,69,1991,0,1.84,1973,2011-01-16,16,FALSE,,FALSE,0.6299999999999999
1,17,48,57,44,56,32,1947,70,1991,0,1.06,1973,2011-01-17,17,FALSE,,FALSE,0.6299999999999999
1,18,46,59,44,56,30,1947,68,1948,0,1.82,1969,2011-01-18,18,FALSE,,FALSE,0.6299999999999999
1,19,48,61,44,56,35,1980,68,1976,0,1.52,2010,2011-01-19,19,FALSE,,FALSE,0.6299999999999999
1,20,45,63,44,57,30,1963,67,1976,0,2.49,1964,2011-01-20,20,FALSE,,FALSE,0.6299999999999999
1,21,43,60,44,57,30,1962,67,1976,0,4.07,1967,2011-01-21,21,FALSE,,FALSE,0.6299999999999999
1,22,44,67,45,57,32,1962,71,1968,0,1.55,1983,2011-01-22,22,FALSE,,FALSE,0.6299999999999999
1,23,47,63,45,57,31,1949,71,1948,0,1.3,2000,2011-01-23,23,FALSE,,FALSE,0.6299999999999999
1,24,43,63,45,57,31,1962,72,1948,0,1.72,2000,2011-01-24,24,FALSE,,FALSE,0.6299999999999999
1,25,44,68,45,57,31,1954,68,2011,0,2.54,2008,2011-01-25,25,TRUE,"Record
 High: 68",FALSE,0.6299999999999999
1,26,46,65,45,57,30,1949,66,1984,0,1.52,1983,2011-01-26,26,FALSE,,FALSE,0.6299999999999999
1,27,44,62,45,57,31,1949,68,1984,0,1.65,1981,2011-01-27,27,FALSE,,FALSE,0.6299999999999999
1,28,46,53,45,57,33,1975,69,1984,0,1.04,1981,2011-01-28,28,FALSE,,FALSE,0.6299999999999999
1,29,50,56,45,58,31,1979,66,2009,0.06,1.57,1968,2011-01-29,29,FALSE,,FALSE,0.69
1,30,46,57,45,58,30,1975,71,1976,0.25,1.91,1963,2011-01-30,30,FALSE,,FALSE,0.94
1,31,41,56,45,58,32,1951,69,1976,0,1.99,1963,2011-01-31,31,FALSE,,FALSE,0.94
2,1,45,63,44,58,30,1950,70,1976,0,1.06,1960,2011-02-01,32,FALSE,,FALSE,0
2,2,48,62,44,58,32,1950,69,1995,0,2.92,1998,2011-02-02,33,FALSE,,FALSE,0
2,3,41,60,45,58,32,1979,70,1984,0,1.02,1998,2011-02-03,34,FALSE,,FALSE,0
